,sum_tx_ether,avg_tx_gas_cost,tx_date
836,2726362.222637525,0.0004848245356815319,2020-04-16
837,1678694.5654216642,0.00040055947019117813,2020-04-17
838,1727878.2612703657,0.00043005274159945073,2020-04-18
839,1435712.2932042412,0.0003962771006076348,2020-04-19
840,2547287.2911662785,0.0004570017207830319,2020-04-20
841,2129461.004923691,0.0005079170521711278,2020-04-21
842,1966711.2503364978,0.0005049087570954274,2020-04-22
843,2160102.703353028,0.000479238592017884,2020-04-23
844,3368040.2574643376,0.00047871435158088543,2020-04-24
845,1454353.3755683291,0.0004139467129031279,2020-04-25
846,1359704.5680398657,0.00044911879543683525,2020-04-26
847,2068679.9807043534,0.0004618361113049107,2020-04-27
848,1297950.681598986,0.0004326195904136855,2020-04-28
849,2662431.2923998483,0.0006547484765693581,2020-04-29
850,3122832.8999551134,0.0007969934148756611,2020-04-30
851,1454208.8420859636,0.0005129085178845394,2020-05-01
852,1210156.6992402035,0.00043464687398246546,2020-05-02
853,1248328.0899733924,0.0004465889679209293,2020-05-03
854,1677808.7443630171,0.000556444541776417,2020-05-04
855,1609655.801073939,0.0005792113303509625,2020-05-05
856,2189316.3034669315,0.000643028729012568,2020-05-06
857,2999031.6369304517,0.0007589199900425045,2020-05-07
858,2183994.1068161516,0.0007501470311107581,2020-05-08
859,1460323.1176711908,0.0006219907256825604,2020-05-09
860,3232915.852894894,0.0010318364668176181,2020-05-10
861,2384783.279014568,0.0008310108422371044,2020-05-11
862,2412291.59609672,0.0009362471879763719,2020-05-12
863,2488153.7343950747,0.0013887901170357468,2020-05-13
864,2257181.610428388,0.0018622297995841604,2020-05-14
865,1922180.0199554563,0.001127232405908529,2020-05-15
866,1258705.1331821294,0.000998443466192848,2020-05-16
867,1340470.9063843272,0.0012139957854829734,2020-05-17
868,2098206.3483105376,0.001418227976276367,2020-05-18
869,1579621.714902319,0.0013479740198880535,2020-05-19
870,1660753.2573566039,0.0014852006790434336,2020-05-20
871,1999800.4163562725,0.0022543859298043262,2020-05-21
872,1853060.9066135318,0.0014545762787216195,2020-05-22
873,1653608.2715961067,0.0010237476811767003,2020-05-23
874,1230664.1239039716,0.001262551913704257,2020-05-24
875,1524710.3920623362,0.0015541514975038228,2020-05-25
